"x"
"Tuve nómina en este banco hace mucho y cobran muchas comisiones                                                                                                                                                                                               "
"porque no tengo uno cercano a mi domicilio                                                                                                                                                                                                                     "
"tiene malas referencias                                                                                                                                                                                                                                        "
"porque su taza de interes es alta y eso no me es agradable buscaria otros bancos                                                                                                                                                                               "
"dicen que los intereses son muy elevados                                                                                                                                                                                                                       "
"porque una vez pedi un préstamo y termine pagando muchos más  de lo que pedi y nosabia y ya no quiero otra cosa con banncos                                                                                                                                  "
"siento que no es un banco seguro me da desconfianza pregiero acudir a unos mas conocidos                                                                                                                                                                       "
"porque cobran mucho el interes                                                                                                                                                                                                                                 "
"Ya a mi edad no me interesa ningun prestamo, ya no.lo quieroby por mi edad supongo tampoco me lo darian                                                                                                                                                        "
"No me agradan sus servicios                                                                                                                                                                                                                                    "
"No me interesa pedir.un prestamo                                                                                                                                                                                                                               "
"considero que no es un buen banco para mis ingresos                                                                                                                                                                                                            "
"porque no tengo la necesidad de pedir prestamo, tengo a mis padres que me pueden ayudar                                                                                                                                                                        "
"hay muy pocos bancos aqui donde vivo de ese banco                                                                                                                                                                                                              "
"Porque hay muchos intereses                                                                                                                                                                                                                                    "
"Muchos intereses                                                                                                                                                                                                                                               "
"Todos me parecen bien                                                                                                                                                                                                                                          "
"cobran mucho                                                                                                                                                                                                                                                   "
"porque no hay muchos bancos aca y ademad pagas poquito y semanal ya te rinde más tu dinero                                                                                                                                                                    "
"Porque ahí he comprado mi celular a credito                                                                                                                                                                                                                   "
"No me gusta sacar préstamo o crédito con tiendas que venden productos                                                                                                                                                                                        "
"No hay uno cercas                                                                                                                                                                                                                                              "
"Piensa q ue no es un banco confiable                                                                                                                                                                                                                           "
"Son muy altos los intereses                                                                                                                                                                                                                                    "
"porque si no paga, dice que le ponen recargos                                                                                                                                                                                                                  "
"Nunca a tenido préstamos allá,  pero por los malos  comentarios de sus conocidos, no lo solicitaría.                                                                                                                                                        "
"No se le hace un banco seguro                                                                                                                                                                                                                                  "
"porque los ingresos de su esposo son muy pocos y no puede tener un crédito                                                                                                                                                                                    "
"piden muchos requisitos                                                                                                                                                                                                                                        "
"Los intereses que manejan, son altos                                                                                                                                                                                                                           "
"Porque cree que los bancos piden muchos requisitos y sus intereses son demasiado altos, imposibles de pagar.                                                                                                                                                   "
"porque no hay aquí, tendría que ir a Mérida cada vez que necesite pagar                                                                                                                                                                                     "
"malas experiencias en cobros y publicidad engañosa                                                                                                                                                                                                            "
"tasa de interés muy alta                                                                                                                                                                                                                                      "
"Pues porque su taza de interés es alta y los servicios no son buenos.                                                                                                                                                                                         "
"te dan muchos peros                                                                                                                                                                                                                                            "
"me han dicho que da problemas                                                                                                                                                                                                                                  "
"dicen que te comen los intereses                                                                                                                                                                                                                               "
"ya lo conozco                                                                                                                                                                                                                                                  "
"es fácil de tramitar                                                                                                                                                                                                                                          "
"no conozco bien                                                                                                                                                                                                                                                "
"no se realmente de bancos                                                                                                                                                                                                                                      "
"ahí tengo mi nomina                                                                                                                                                                                                                                           "
