"x"
NA
2006
2015
2014
2002
2005
1996
2004
2010
2012
1997
2011
2013
1998
2008
2009
2001
2003
2000
2016
1988
1989
2007
1999
1993
1994
89
1992
97
99
1995
82
96
1985
1975
93
