FRASEO,E16_COD1
2006,2006
2015,2015
2014,2014
2002,2002
2005,2005
1996,1996
2004,2004
2010,2010
2012,2012
1997,1997
2011,2011
2013,2013
1998,1998
2008,2008
2009,2009
2001,2001
2003,2003
2000,2000
2016,2016
1988,1988
1989,1989
2007,2007
1999,1999
1993,1993
1994,1994
89,1989
1992,1992
97,1997
99,1999
1995,1995
82,1982
96,1996
1985,1985
1975,1975
93,1993
