FRASEO,P12a_COD1,P12a_COD2
tiene la tasa muy alta de intered                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
tiene la tasa muy alta                                                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
no lo necesitaria en este momento. el esta bien con su banco                                                                                                                                                                                                   ,NO ME INTERESA UN CRÉDITO,
no me da confianza el banco                                                                                                                                                                                                                                    ,NO ME DA CONFIANZA,
porque cree que es el banco mas caro en tasa de intereses                                                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
se le figura un banco para gente muy rica                                                                                                                                                                                                                      ,ES UN BANCO PARA GENTE RICA,
le han dicho que las comiiones son muy caras                                                                                                                                                                                                                   ,LOS INTERESES SON ALTOS,
porque ahi tengo mi cuenta y te dan facilidades para pagar puedes pagar semanalmente abonos chicos como 100 o 200                                                                                                                                              ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
porque es muy caro en comisiones                                                                                                                                                                                                                               ,COBRAN MUCHAS COMISIONES,
no me da confianza porque tienen poco tiempo como banco  y el dinero no podrian manejarlo bien                                                                                                                                                                 ,NO ME DA CONFIANZA,
porque no me guste pedir prestado                                                                                                                                                                                                                              ,NO ME INTERESA UN CRÉDITO,
ng                                                                                                                                                                                                                                                             ,NO SABE/NO CONTESTO,
se me hace un banco muy caro...                                                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,
las malas referencias que tiene el banco en los envios de dinero                                                                                                                                                                                               ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
porque es un banco que tiene muchos años y sus intereses no son altos como otros bancos de mas de 50 %                                                                                                                                                        ,LOS INTERESES SON ALTOS,
tasa de intereses altos                                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
las comisiones de ese banco son muy caras y los intereses tambien                                                                                                                                                                                              ,COBRAN MUCHAS COMISIONES,LOS INTERESES SON ALTOS
Comenta que siempre hay muchos intereses de por medio y cobran de mas                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
me hacen cargos a mi cuenta que nunca he hecho o bien me cobran por cosas que nisiquiera se para que sirven y los pago practicamente ala fuerza                                                                                                                ,MALA ATENCIÓN Y SERVICIO,
no me da confianza además que una vez pregunte sobre un credito y me pedian aval que tuviera propiedad y un monton de cosas y todavia me iban a cobrar muchos intereses la verdad eso no esta bien porque entonces como voy a tener crdito                    ,NO ME DA CONFIANZA,LOS INTERESES SON ALTOS
considero que no es un banco que me ofrece la mayor confianza que necesito                                                                                                                                                                                     ,NO ME DA CONFIANZA,
porque no hay muchos cajeros en la.ciudad y los bancos son muy escasos y si quiero sacar dinero de algún otro banco me cobran una comision                                                                                                                    ,TIENE POCAS SUCURSALES/CAJEROS,COBRAN MUCHAS COMISIONES
porque siento que cobran mucho                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
no lo conozco no se de que es lo he visto en la tele elektra porque si lo conosco pero ese no y quien sabe cuanto cobran                                                                                                                                       ,FALTA INFORMACIÓN DEL BANCO,
por que no los conosco muy bien y hay pocos bancos                                                                                                                                                                                                             ,FALTA INFORMACIÓN DEL BANCO,TIENE POCAS SUCURSALES/CAJEROS
"los pagos se retrasan o no le dan una buena atencion al cliente , aparte de que cobran muchos servicios y la anualidad es costosa                                                                                                                              ",MALA ATENCIÓN Y SERVICIO,
esta bien caro                                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
dice que si tuviera la facilidad de algún préstamo o crédito lo haría en una empresa ya conocida y estable                                                                                                                                                 ,NO ME DA CONFIANZA,
por que le paso una experiencia con un familiar que le robaron el dinero y no hay muchos bancos                                                                                                                                                                ,MALA ATENCIÓN Y SERVICIO,TIENE POCAS SUCURSALES/CAJEROS
siento que su taza de interes en muy alta y ese banco no me convenze                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,NO ME DA CONFIANZA
tiene muy mala fama en mi familia                                                                                                                                                                                                                              ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
porque yo he escuchado que cobran mucho interés                                                                                                                                                                                                               ,LOS INTERESES SON ALTOS,
tiene muy mal servicio mis familiares tienen crédito y siempre están batallando                                                                                                                                                                              ,MALA ATENCIÓN Y SERVICIO,
Yo no utilizaría este banco por su taza de interés tan alta.                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
Dice que son muy engañosos que solo venden puras mentiras                                                                                                                                                                                                     ,NO ME DA CONFIANZA,
es muy caro                                                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
ese banco me da desconfianza preferiria otros                                                                                                                                                                                                                  ,NO ME DA CONFIANZA,
porque cualquier banco esta bien para solicitar un crédito                                                                                                                                                                                                    ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
por que te cobran el doble de lo que pides                                                                                                                                                                                                                     ,LOS INTERESES SON ALTOS,
dice que una vez saco una cuenta de ahorro y le quitaron parte de su dinero                                                                                                                                                                                    ,MALA ATENCIÓN Y SERVICIO,
por que no lo conosco y veo muy pocos bancos de ellos                                                                                                                                                                                                          ,FALTA INFORMACIÓN DEL BANCO,NO ME DA CONFIANZA
por que su interés está muy elevado a diferencia de sus recursos                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
porque nomas te atrasas con un mes y te doblan la suma                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
porque no le gusta los veneficios                                                                                                                                                                                                                              ,NO ME GUSTA EL BANCO,
comenta que por que no le es de mucha confianza que en una tienda departamental siempre cobraran de mas                                                                                                                                                        ,NO ME DA CONFIANZA,
"a mi mamá le cobraban muchisimo, sacó una cantidad y le cobraron el triple así que no me meto con ellos jamás                                                                                                                                              ",LOS INTERESES SON ALTOS,
le comentaron que ya estaban en quiebra y le daría un inseguridad que se queden con su dinero                                                                                                                                                                 ,NO ME DA CONFIANZA,
por que no es muy reconocido y no escuchado mucho de  ellos                                                                                                                                                                                                    ,NO ME DA CONFIANZA,FALTA INFORMACIÓN DEL BANCO
No me gusta como trabaja                                                                                                                                                                                                                                       ,MALA ATENCIÓN Y SERVICIO,
no lo conozco no se cual sea y si le voy a prestar al banco es porque lo conozco o preguntando cuanto cobran de intereses porque luego te cobran un monton y uno ni se entera mejor los que conozco como banco azteca de elektra                               ,FALTA INFORMACIÓN DEL BANCO,
dice que por que son muy caros y no es fácil sacar u. préstamo que le piden muchas cosas                                                                                                                                                                     ,LOS INTERESES SON ALTOS,
no es un banco de mi confianza considero que es poco conocido para mi y esta por debajo d mis espectativas de un banco y la localizacion                                                                                                                       ,NO ME DA CONFIANZA,
tiene la tasa de interés muy alta una de las mas altas                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
Muy alta tasa de interés y porque tiene pocas sucursales y cajeros                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,TIENE POCAS SUCURSALES/CAJEROS
Son escasos los cajeros y los servicios con los que cuenta.                                                                                                                                                                                                    ,TIENE POCAS SUCURSALES/CAJEROS,
Tiene malas referencias acerca de los créditos que otorga y dicen que te cobran el doble de lo que te prestan.                                                                                                                                                ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,LOS INTERESES SON ALTOS
Es muy alta la tasá de interés.                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
"Los créditos que ofrecen los bancos son caros, caros: es que te cobran mucho por lo que te prestan.                                                                                                                                                           ",LOS INTERESES SON ALTOS,
Por que mi tía me contó que sale caro pedir un prèstamo en elecktra                                                                                                                                                                                         ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,LOS INTERESES SON ALTOS
Por que no existen muchos cajeros para retirar efectivo.                                                                                                                                                                                                       ,TIENE POCAS SUCURSALES/CAJEROS,
esta muy elevado el interés si te atrasas  por 1 dia                                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
tenia credito ahi pero me llegaban a cobrar bien groseros pero no pagaba porque no quería si no porque no ay coppel aca tenia q ir hasta tuxtla yya no me conviene                                                                                            ,MALA ATENCIÓN Y SERVICIO,
"Pues para mi no sería una opción utilizar ese banco porque presta montos muy pequeños, aparte tiene mala reputación.                                                                                                                                       ",ME HAN DADO MALAS REFERENCIAS DEL BANCO,
los intereses suelen ser más elevados que en otros                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
en han contado que son muy insistentes y molestos con un retraso                                                                                                                                                                                               ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
No creo que sea un Banco con mucho futuro                                                                                                                                                                                                                      ,NO ME DA CONFIANZA,
es poco popular                                                                                                                                                                                                                                                ,FALTA INFORMACIÓN DEL BANCO,
No le gusta pagar intereses tan elevados en comparación con otros                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
es una empresa pequeña                                                                                                                                                                                                                                        ,NO ME DA CONFIANZA,
parece ser una empresa muy grande no hecha para  personas humildes que no                                                                                                                                                                                      ,ES UN BANCO PARA GENTE RICA,
no hay coppel aca en coita y no se como es me dicen que es bueno pero no se primero tendria que probarlo                                                                                                                                                       ,FALTA INFORMACIÓN DEL BANCO,
No le agrada el banco                                                                                                                                                                                                                                          ,NO ME GUSTA EL BANCO,
tiene tasa de interés alta y malas experiencias de mis padres                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
porque no le agrada ese Banco                                                                                                                                                                                                                                  ,NO ME GUSTA EL BANCO,
no me gusta como trabajan y sus pagos no se me hacen comodos no se simplemente no me agrada y la sucursal hasta tuxtla no es comodo                                                                                                                            ,MALA ATENCIÓN Y SERVICIO,
porque no es una institución financiera sólida                                                                                                                                                                                                               ,NO ME DA CONFIANZA,
simplemente porque no hay aca donde vivo y creo q tampoco en chiapas entonces nunca podria pedir un prestamo o comprar a credito ahi la verdad desconozco completamente a esa empresa                                                                          ,TIENE POCAS SUCURSALES/CAJEROS,
"atienden con muy mala gana son groseros los empleados, los de cajas                                                                                                                                                                                            ",MALA ATENCIÓN Y SERVICIO,
porque eso de los creditos es mucho gasto despues te cobran un monton el doble o el triple y nunca terminas de pagar                                                                                                                                           ,LOS INTERESES SON ALTOS,
porque ya lo conozco y tengo una cuenta de ahorro                                                                                                                                                                                                              ,FALTA INFORMACIÓN DEL BANCO,
ya he pedido préstamo de mi nomina y me pareció bien                                                                                                                                                                                                         ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
nose                                                                                                                                                                                                                                                           ,NO SABE/NO CONTESTO,
tiene muchos intereses y casi no hay cajeros automáticos                                                                                                                                                                                                      ,LOS INTERESES SON ALTOS,TIENE POCAS SUCURSALES/CAJEROS
pues dicen que no hay mucha seguridad porque tienen poco tiempo                                                                                                                                                                                                ,NO ME DA CONFIANZA,
creo que los intereses son muy altos                                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
mi papa tiene cuenta ahí y me dice que esta bien                                                                                                                                                                                                              ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
creo que los intereses te comen muy rápido si no cumplrs                                                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
"en cualquier banco podría solicitar algún prestamo, pero obvio que lo solicitaría en el banco que este en mi pueblo                                                                                                                                         ","NO TENGO PROBLEMA, SI LO SOLICITARIA",
son muy enfadosos                                                                                                                                                                                                                                              ,MALA ATENCIÓN Y SERVICIO,
por que es una tienda o almenos eso pensaba                                                                                                                                                                                                                    ,NO ME GUSTA EL BANCO,
las tazas de intereses son altas                                                                                                                                                                                                                               ,LOS INTERESES SON ALTOS,
no sabia que existia banco famsa pense que solo era tienda                                                                                                                                                                                                     ,NO SABE/NO CONTESTO,
por que estoy estudiando y por el momento no tengo la necesidad de pedir un prestamo                                                                                                                                                                           ,NO ME INTERESA UN CRÉDITO,
no los utilizo (rara vez)                                                                                                                                                                                                                                      ,NO ME INTERESA UN CRÉDITO,
cerca de mi casa habia uno pero ya lo auitaron y siempre pasaba y nunca habia gente se veia como muy descuidado me da desconfianza                                                                                                                             ,NO ME DA CONFIANZA,
no e tenido la necesidad                                                                                                                                                                                                                                       ,NO ME INTERESA UN CRÉDITO,
por que tuve melas experiencias con mi tarjeta de credito con mis estados de cuenta                                                                                                                                                                            ,MALA ATENCIÓN Y SERVICIO,
prestan muy poco y los intereses son muy altos                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
hay pocas sucursales en mi localidad de ese banco                                                                                                                                                                                                              ,TIENE POCAS SUCURSALES/CAJEROS,
lo solicitaría en cualquier banco                                                                                                                                                                                                                             ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
ya tuve credito y sali pagando una cantidad exorbitante dicen q te ayudan pero solo te perjudican y te roban por eso la cancele                                                                                                                                ,LOS INTERESES SON ALTOS,
Creo que es un poco incompetente                                                                                                                                                                                                                               ,MALA ATENCIÓN Y SERVICIO,
No tengo uno cercano                                                                                                                                                                                                                                           ,TIENE POCAS SUCURSALES/CAJEROS,
tengo que viajar y pagar pasaje y aparte el pago y yo no voy a tuxtla seguido es un gasto más y no ay mucho dinero                                                                                                                                            ,TIENE POCAS SUCURSALES/CAJEROS,
No tenemos uno sercano a nuestro domicilio                                                                                                                                                                                                                     ,TIENE POCAS SUCURSALES/CAJEROS,
porquen no le dieron lo que le ofrecieron cobraron mas interes de lo que era                                                                                                                                                                                   ,LOS INTERESES SON ALTOS,
dicen que son muy grandes los intereses                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
Mi esposo dice que es un pesimo banco                                                                                                                                                                                                                          ,MALA ATENCIÓN Y SERVICIO,
"por los intereses son muy altos, y no conviene pedir un préstamo si voy a pagar muchos intereses y hay lugares mejores                                                                                                                                        ",LOS INTERESES SON ALTOS,
dicen que son muy altos los intereses                                                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
son muy problemáticos                                                                                                                                                                                                                                         ,MALA ATENCIÓN Y SERVICIO,
cobra muy caro y suelen quitarte el dinero                                                                                                                                                                                                                     ,LOS INTERESES SON ALTOS,
Por que no le gusta                                                                                                                                                                                                                                            ,NO ME INTERESA UN CRÉDITO,
"siempre son muy caros, se maneja mucho dinero y en algunos bancos son muy elevados los intereses                                                                                                                                                               ",LOS INTERESES SON ALTOS,
intereses altos                                                                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,
porque tienen una tasa alta a mi parecer                                                                                                                                                                                                                       ,LOS INTERESES SON ALTOS,
es muy caro y con muchos intereses                                                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
"No lo he necesitado, ya con las cuentas que tengo en el banco estoy y no me gustaría involucrarme mucho con los bancos                                                                                                                                        ",NO ME INTERESA UN CRÉDITO,
es mucho tramite                                                                                                                                                                                                                                               ,PIDEN MUCHOS REQUISITOS,
tienen muy mala fama en mi familia                                                                                                                                                                                                                             ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
tiene muy alto los intereses                                                                                                                                                                                                                                   ,LOS INTERESES SON ALTOS,
mi comadre pidió un préstamo y me dice que los intereses son muy altos                                                                                                                                                                                       ,LOS INTERESES SON ALTOS,
suben mucho interes                                                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
porque no conozco mucho de los servicios que ofrese el Banco                                                                                                                                                                                                   ,FALTA INFORMACIÓN DEL BANCO,
tiene muy poco de banco no tengo confianza                                                                                                                                                                                                                     ,NO ME DA CONFIANZA,
comenta que es un banco para personas con mejor economia                                                                                                                                                                                                       ,ES UN BANCO PARA GENTE RICA,
mucho taza de interes                                                                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
intereses exagerados                                                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
por que no le gusta el banco de copel ya que no tiene muchos cajeros y beneficios                                                                                                                                                                              ,TIENE POCAS SUCURSALES/CAJEROS,
porque no uso bancos                                                                                                                                                                                                                                           ,NO ME INTERESA UN CRÉDITO,
dice que cuando tiene alguna deuda siempre están llamando a cada rato                                                                                                                                                                                         ,MALA ATENCIÓN Y SERVICIO,
Porque piden muchos requisitos                                                                                                                                                                                                                                 ,PIDEN MUCHOS REQUISITOS,
por que no lo conosco muy bien                                                                                                                                                                                                                                 ,FALTA INFORMACIÓN DEL BANCO,
ninguno                                                                                                                                                                                                                                                        ,NO SABE/NO CONTESTO,
No estoy mal con un banco                                                                                                                                                                                                                                      ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
mucho rollo                                                                                                                                                                                                                                                    ,PIDEN MUCHOS REQUISITOS,
Dice que no sabría que contestarme                                                                                                                                                                                                                            ,NO SABE/NO CONTESTO,
Porque está lejos                                                                                                                                                                                                                                             ,TIENE POCAS SUCURSALES/CAJEROS,
nunca he tenido la necesidad de solicitar un préstamo en el banco. Pienso que los intereses son muy costosos                                                                                                                                                  ,LOS INTERESES SON ALTOS,
tasa de interés muy alta. Es muy fácil caer en buró de crédito con ese banco.                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
la mayoria de mis conocidos acuden a ese banco                                                                                                                                                                                                                 ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
siento que es para gente muy humilde                                                                                                                                                                                                                           ,ES UN BANCO PARA GENTE RICA,
por que llaman mucho a los hogares                                                                                                                                                                                                                             ,MALA ATENCIÓN Y SERVICIO,
demasiados requisitos                                                                                                                                                                                                                                          ,PIDEN MUCHOS REQUISITOS,
comenta que piden muchas cosas para un préstamo y no cuenta con un i greso                                                                                                                                                                                    ,PIDEN MUCHOS REQUISITOS,
deuda                                                                                                                                                                                                                                                          ,NO ME INTERESA UN CRÉDITO,
"Sin bien groseros el otro día fui a depositar un dinero que debía de unas cositas que vendo y pues ahora si que no le tienen paciencia a uno verdad, uno casí no sabe hacer eso y muy groseros se portaron conmigo                                          ",NO SABE/NO CONTESTO,
Tuve Coppel hace tiempo y acabé cancelandolo porqué cobran muy caras las cosas y ya he optado por pagar a contado                                                                                                                                            ,LOS INTERESES SON ALTOS,
porque no hay banco de esos aquí en tepeaca                                                                                                                                                                                                                   ,TIENE POCAS SUCURSALES/CAJEROS,
por que es un lugar con mucha gente y fila s                                                                                                                                                                                                                   ,MALA ATENCIÓN Y SERVICIO,
Mucha tasa dr interes                                                                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
Porque es tienda de venta de ropa y eléctricos                                                                                                                                                                                                                ,NO ME DA CONFIANZA,
ya tuve malas experiencias por parte de ese banco en cuestión de los intereses muy altos                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
siento que es muy caro                                                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
creo que es el mas utilizado                                                                                                                                                                                                                                   ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
es mucho sus mensualidades                                                                                                                                                                                                                                     ,LOS INTERESES SON ALTOS,
muy dificil de conseguir                                                                                                                                                                                                                                       ,PIDEN MUCHOS REQUISITOS,
Porque los intereses son muy elevados y los cobradores molestan                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,
