FRASEO,P12a_COD1,P12a_COD2
no tiene tanta fama                                                                                                                                                                                                                                            ,NO ME DA CONFIANZA,
por la fama que se llega a crear                                                                                                                                                                                                                               ,NO ME DA CONFIANZA,
porqur trabaje connuna empresa que pagaba mi sueldo en ese banco pero me quitaban muchas comisiones                                                                                                                                                            ,COBRAN MUCHAS COMISIONES,LOS INTERESES SON ALTOS
los intereses son muy elevados                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
porque esta mas cercano a tu domicilio                                                                                                                                                                                                                         ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
interés muy alto                                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
muy alto interés                                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
cobran mucho de interés en la tarjeta de crédito                                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
"Pues yo no lo utilizaría, porque su taza de interés es más alta que la de algunas otras sucursales y para mi no es conveniente.                                                                                                                             ",LOS INTERESES SON ALTOS,
por que para mi los intereses son muy altos y no me es conveniente                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
es un banco que esta muy retirado de mi casa y solo le dan a clases de personas con dinero                                                                                                                                                                     ,TIENE POCAS SUCURSALES/CAJEROS,
enfadan mucho                                                                                                                                                                                                                                                  ,MALA ATENCIÓN Y SERVICIO,
Son muy fastidioso no tienen buena atención a los clientes y tienen sus intereses muy altos                                                                                                                                                                   ,MALA ATENCIÓN Y SERVICIO,LOS INTERESES SON ALTOS
"porque me da miedo, he visto con familiares como su deuda va a veces creciendo y no pueden acabar de pagar, no quiero que eso me pase a mi                                                                                                                     ",NO ME DA CONFIANZA,
"porque esos del elektra le saca a uno los ojos de la cara con los intereses, termina uno pagando el doble o hasta más, la verdad yo siento que no conviene y prefiero pagar en efectivo                                                                       ",LOS INTERESES SON ALTOS,
Cobran mucho y son muy groseros                                                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
"Me dan miedo los bancos, muchas veces se aprovechan de uno                                                                                                                                                                                                     ",NO ME DA CONFIANZA,
porque los bancos nomás andan viendo como quitarle el dinero a uno y pues prefiero estar así sin presiones                                                                                                                                                   ,NO ME DA CONFIANZA,
"es el peor banco en dar atención, sus trabajadores son muy groseros                                                                                                                                                                                           ",MALA ATENCIÓN Y SERVICIO,
cobran muchos intereses y los pagos son semanales                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,POR LOS PLAZOS Y FRECUENCIA DE PAGOS
Tuve nómina en este banco hace mucho y cobran muchas comisiones                                                                                                                                                                                               ,COBRAN MUCHAS COMISIONES,LOS INTERESES SON ALTOS
porque no tengo uno cercano a mi domicilio                                                                                                                                                                                                                     ,TIENE POCAS SUCURSALES/CAJEROS,
tiene malas referencias                                                                                                                                                                                                                                        ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
porque su taza de interes es alta y eso no me es agradable buscaria otros bancos                                                                                                                                                                               ,LOS INTERESES SON ALTOS,
dicen que los intereses son muy elevados                                                                                                                                                                                                                       ,LOS INTERESES SON ALTOS,
porque una vez pedi un préstamo y termine pagando muchos más  de lo que pedi y nosabia y ya no quiero otra cosa con banncos                                                                                                                                  ,LOS INTERESES SON ALTOS,
siento que no es un banco seguro me da desconfianza pregiero acudir a unos mas conocidos                                                                                                                                                                       ,NO ME DA CONFIANZA,
porque cobran mucho el interes                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
"Ya a mi edad no me interesa ningun prestamo, ya no.lo quieroby por mi edad supongo tampoco me lo darian                                                                                                                                                        ",NO ME INTERESA UN CRÉDITO,
No me agradan sus servicios                                                                                                                                                                                                                                    ,MALA ATENCIÓN Y SERVICIO,
