FRASEO,E17_COD1
cirrus                                                                                                                                                                                                                                                         ,CIRRUS
acord                                                                                                                                                                                                                                                          ,ACCORD
kia                                                                                                                                                                                                                                                            ,NO IDENTIFICADO
mitsubichi                                                                                                                                                                                                                                                     ,MITSUBISHI
For focus                                                                                                                                                                                                                                                      ,FOCUS
accord                                                                                                                                                                                                                                                         ,ACCORD
Versa                                                                                                                                                                                                                                                          ,VERSA
mazda 6                                                                                                                                                                                                                                                        ,MAZDA
sportage                                                                                                                                                                                                                                                       ,KIA SPORTAGE
gol                                                                                                                                                                                                                                                            ,GOL
corsa                                                                                                                                                                                                                                                          ,CORSA
Sedan                                                                                                                                                                                                                                                          ,VOLKSWAGEN SEDÁN
Mazda 6                                                                                                                                                                                                                                                        ,MAZDA
blazer                                                                                                                                                                                                                                                         ,BLAZER
patriot                                                                                                                                                                                                                                                        ,JEEP PATRIOT
escape                                                                                                                                                                                                                                                         ,ESCAPE
explorer                                                                                                                                                                                                                                                       ,EXPLORER
avenger                                                                                                                                                                                                                                                        ,AVENGER
CR-V                                                                                                                                                                                                                                                           ,CR-V
avanger                                                                                                                                                                                                                                                        ,AVENGER
500 pink                                                                                                                                                                                                                                                       ,FIAT 500 PINK
journey                                                                                                                                                                                                                                                        ,JOURNEY
dacota                                                                                                                                                                                                                                                         ,DAKOTA
300,CHRYSLER 300
libery                                                                                                                                                                                                                                                         ,JEEP LIBERTY
Corola                                                                                                                                                                                                                                                         ,COROLLA
Liberty                                                                                                                                                                                                                                                        ,JEEP LIBERTY
Luv                                                                                                                                                                                                                                                            ,CHEVROLET LUV
Patriot                                                                                                                                                                                                                                                        ,JEEP PATRIOT
mustang                                                                                                                                                                                                                                                        ,MUSTANG
ACCORD                                                                                                                                                                                                                                                         ,ACCORD
Clío                                                                                                                                                                                                                                                          ,CLÍO
Tída                                                                                                                                                                                                                                                          ,TIIDA
impala                                                                                                                                                                                                                                                         ,IMPALA
malibo                                                                                                                                                                                                                                                         ,MALIBU
escor                                                                                                                                                                                                                                                          ,ESCORT
np300                                                                                                                                                                                                                                                          ,NP300
saturn                                                                                                                                                                                                                                                         ,GM SATURN
dakota                                                                                                                                                                                                                                                         ,DAKOTA
f-150                                                                                                                                                                                                                                                          ,F-150
caribe                                                                                                                                                                                                                                                         ,CARIBE
centra                                                                                                                                                                                                                                                         ,SENTRA
vocho                                                                                                                                                                                                                                                          ,VOLKSWAGEN SEDÁN
nissa                                                                                                                                                                                                                                                          ,NO IDENTIFICADO
linux                                                                                                                                                                                                                                                          ,LINUX
fiushon                                                                                                                                                                                                                                                        ,FUSION
zuru                                                                                                                                                                                                                                                           ,TSURU
compass                                                                                                                                                                                                                                                        ,JEEP COMPASS
cheyenee                                                                                                                                                                                                                                                       ,CHEYENNE
tzuro                                                                                                                                                                                                                                                          ,TSURU
malbu                                                                                                                                                                                                                                                          ,MALIBU
Altima                                                                                                                                                                                                                                                         ,ALTIMA
