"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","P11","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"11","P11.Pr.stamos.personales.para.fies","14","1.1","10","1.2","4","1","7","1.1","7","1.1","2","0.9","2","0.7","2","0.8","6","2.5","2","0.8","4","1.4","3","0.8","5","1.4","2","0.8","3","1.7","2","1.4","0","0","2","1","4","2.9","0","0","1","0.7","1","0.6","1","1.1","1","0.4","3","2.4","4","2.8","4","1.4","2","0.7","0","0","2","1.4","1","0.4","0","0","2","2.3","2","2","3","3.6"
"12","P11.Seguro.de.vida","148","11.8","122","14.4","26","6.4","78","12.2","70","11.3","45","19.7","41","14.7","19","7.8","15","6.2","28","10.5","13","4.6","47","12.6","41","11.7","47","18.7","12","6.6","21","14.6","9","8.5","24","12.4","8","5.8","6","6","21","14.6","26","16.4","21","22.6","22","8.7","18","14.2","7","4.9","36","12.9","47","17.3","18","9.7","21","14.2","39","15.2","30","16.9","10","11.6","12","12.2","10","12"
"13","P11.Seguro.de.m.dico","123","9.8","85","10","38","9.3","71","11.1","52","8.4","27","11.8","19","6.8","15","6.1","24","10","38","14.3","14","4.9","35","9.4","36","10.3","38","15.1","16","8.8","9","6.2","18","17","38","19.6","10","7.3","5","5","14","9.7","8","5","5","5.4","14","5.5","5","3.9","9","6.3","39","14","32","11.8","24","13","13","8.8","26","10.1","27","15.3","7","8.1","6","6.1","6","7.2"
"14","P11.Seguro.para.la.casa","31","2.5","25","2.9","6","1.5","15","2.4","16","2.6","11","4.8","7","2.5","3","1.2","6","2.5","4","1.5","7","2.5","8","2.1","8","2.3","8","3.2","7","3.9","3","2.1","4","3.8","4","2.1","1","0.7","1","1","1","0.7","4","2.5","6","6.5","4","1.6","5","3.9","2","1.4","14","5","5","1.8","1","0.5","4","2.7","5","1.9","5","2.8","2","2.3","3","3.1","6","7.2"
"15","P11.Seguro.de.auto","33","2.6","25","2.9","8","2","22","3.4","11","1.8","14","6.1","10","3.6","4","1.6","3","1.2","2","0.8","6","2.1","8","2.1","11","3.2","8","3.2","7","3.9","3","2.1","1","0.9","7","3.6","4","2.9","2","2","4","2.8","3","1.9","2","2.2","2","0.8","5","3.9","6","4.2","10","3.6","6","2.2","4","2.2","5","3.4","4","1.6","4","2.3","4","4.7","4","4.1","4","4.8"
"16","P11.Seguro.de.gastos.funerarios","20","1.6","18","2.1","2","0.5","7","1.1","13","2.1","7","3.1","4","1.4","2","0.8","3","1.2","4","1.5","2","0.7","2","0.5","5","1.4","11","4.4","2","1.1","3","2.1","1","0.9","2","1","3","2.2","2","2","1","0.7","3","1.9","3","3.2","1","0.4","2","1.6","3","2.1","6","2.2","7","2.6","1","0.5","3","2","5","1.9","4","2.3","0","0","1","1","5","6"
"17","P11.Ahorro.para.el.futuro","84","6.7","63","7.4","21","5.1","46","7.2","38","6.1","24","10.5","16","5.8","16","6.5","17","7.1","11","4.1","16","5.6","21","5.6","29","8.3","18","7.2","8","4.4","13","9","5","4.7","19","9.8","9","6.6","8","8","13","9","8","5","1","1.1","12","4.7","4","3.1","13","9.2","18","6.5","27","9.9","10","5.4","12","8.1","19","7.4","13","7.3","6","7","4","4.1","9","10.8"
"18","P11.Ahorro.para.eventos.sociales","2","0.2","1","0.1","1","0.2","0","0","2","0.3","1","0.4","1","0.4","0","0","0","0","0","0","1","0.4","0","0","1","0.3","0","0","2","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.7","0","0","0","0","1","0.7","0","0","0","0","0","0","0","0","0","0"
"19","P11.Ahorro.para.emergencias","54","4.3","40","4.7","14","3.4","28","4.4","26","4.2","10","4.4","11","4","9","3.7","7","2.9","17","6.4","7","2.5","15","4","21","6","11","4.4","2","1.1","8","5.6","6","5.7","11","5.7","4","2.9","9","9","7","4.9","6","3.8","1","1.1","15","5.9","3","2.4","3","2.1","10","3.6","14","5.1","9","4.9","10","6.8","11","4.3","11","6.2","2","2.3","3","3.1","3","3.6"
"20","P11.Ahorro.planeado.cuenta.de.ahor","42","3.3","24","2.8","18","4.4","21","3.3","21","3.4","10","4.4","7","2.5","8","3.3","4","1.7","13","4.9","9","3.2","12","3.2","16","4.6","5","2","6","3.3","4","2.8","11","10.4","11","5.7","2","1.5","0","0","2","1.4","6","3.8","0","0","5","2","2","1.6","4","2.8","10","3.6","6","2.2","15","8.1","5","3.4","4","1.6","11","6.2","0","0","2","2","2","2.4"
