"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","P11","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"31","Siento que a Banco Azteca no lo cambiaría por ningún otro ba","3","1.7","3","1.7","0","0","2","1.1","1","0.6","0","0","1","0.6","0","0","1","0.6","1","0.6","0","0","0","0","3","1.7","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","2","1.1","0","0","0","0","2","1.1","0","0","0","0","0","0","1","0.6","0","0","0","0","1","0.6","2","1.1","0","0","0","0"
"32","Cuando necesito utilizar un banco, Banco Azteca es el primer","1","0.6","1","0.6","0","0","1","0.6","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0"
"33","Me siento satisfecho con Banco Azteca por que cubre mis nece","7","4","7","4","0","0","3","1.7","4","2.3","2","1.1","2","1.1","3","1.7","0","0","0","0","3","1.7","1","0.6","3","1.7","0","0","0","0","2","1.1","0","0","2","1.1","0","0","0","0","0","0","0","0","3","1.7","4","2.3","0","0","0","0","1","0.6","2","1.1","0","0","3","1.7","4","2.3","0","0","0","0","0","0","0","0"
"34","Banco Azteca tiene lo que necesito","4","2.3","4","2.3","0","0","2","1.1","2","1.1","0","0","0","0","0","0","3","1.7","1","0.6","2","1.1","0","0","2","1.1","0","0","0","0","2","1.1","0","0","2","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1.1","1","0.6","1","0.6","1","0.6","0","0","3","1.7","0","0","0","0","0","0"
"35","Solo lo ocupo porque en este Banco me envían dinero/ En este","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","No tengo otra opción y por eso utilizo a Banco Azteca","2","1.1","2","1.1","0","0","1","0.6","1","0.6","0","0","1","0.6","0","0","0","0","1","0.6","1","0.6","1","0.6","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","1","0.6","1","0.6","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","1","0.6"
"37","Total","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100"
"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39","P115","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"40","Menos de 3 meses","2","1.1","2","1.1","0","0","1","0.6","1","0.6","0","0","1","0.6","1","0.6","0","0","0","0","1","0.6","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","1","0.6","1","0.6","1","0.6","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","1","0.6"
"41","Más de 3 mes y hasta 6 meses","1","0.6","1","0.6","0","0","1","0.6","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0"
"42","Más de 6 mes y hasta 1 año","3","1.7","3","1.7","0","0","1","0.6","2","1.1","0","0","0","0","1","0.6","0","0","2","1.1","2","1.1","0","0","1","0.6","0","0","0","0","2","1.1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","2","1.1","0","0","0","0","1","0.6","0","0","0","0","0","0","2","1.1","1","0.6","0","0","0","0","0","0"
"43","Más de 1 año y hasta 2 años","7","4","7","4","0","0","4","2.3","3","1.7","0","0","2","1.1","2","1.1","3","1.7","0","0","2","1.1","0","0","5","2.9","0","0","0","0","1","0.6","0","0","4","2.3","0","0","0","0","0","0","1","0.6","1","0.6","2","1.1","1","0.6","0","0","1","0.6","2","1.1","1","0.6","2","1.1","2","1.1","2","1.1","1","0.6","0","0","0","0"
"44","Más de 2 años y hasta 4 años","2","1.1","2","1.1","0","0","1","0.6","1","0.6","1","0.6","1","0.6","0","0","0","0","0","0","1","0.6","1","0.6","0","0","0","0","0","0","1","0.6","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1.1","0","0","2","1.1","0","0","0","0","0","0","0","0","0","0"
"45","Más de 4 años y hasta 6 años","1","0.6","1","0.6","0","0","0","0","1","0.6","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0"
"46","Más de 6 años","1","0.6","1","0.6","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","1","0.6","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0","1","0.6","0","0","0","0","0","0"
"47","Total","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100","175","100"
"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49","P12","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"50","Banco Azteca","222","17.6","143","16.8","79","19.3","115","18","107","17.3","45","19.7","55","19.8","37","15.1","35","14.5","50","18.8","55","19.4","71","19","54","15.5","42","16.7","30","16.6","22","15.3","14","13.2","29","14.9","20","14.6","31","31","9","6.2","47","29.6","20","21.5","67","26.4","15","11.8","15","10.6","34","12.2","55","20.2","36","19.5","33","22.3","64","24.9","21","11.9","10","11.6","9","9.2","6","7.2"
"51","Banamex","140","11.1","102","12","38","9.3","79","12.4","61","9.8","21","9.2","24","8.6","37","15.1","31","12.9","27","10.2","25","8.8","44","11.8","45","12.9","26","10.4","25","13.8","30","20.8","22","20.8","13","6.7","27","19.7","2","2","15","10.4","6","3.8","0","0","24","9.4","13","10.2","18","12.7","33","11.9","25","9.2","27","14.6","12","8.1","27","10.5","34","19.2","13","15.1","11","11.2","5","6"
"52","Banorte","46","3.7","35","4.1","11","2.7","22","3.4","24","3.9","8","3.5","12","4.3","7","2.9","10","4.1","9","3.4","6","2.1","14","3.7","14","4","12","4.8","10","5.5","6","4.2","1","0.9","3","1.5","4","2.9","3","3","11","7.6","6","3.8","2","2.2","13","5.1","4","3.1","1","0.7","10","3.6","14","5.1","4","2.2","6","4.1","17","6.6","8","4.5","2","2.3","1","1","1","1.2"
"53","Bancomer","74","5.9","45","5.3","29","7.1","31","4.9","43","6.9","9","3.9","13","4.7","15","6.1","22","9.1","15","5.6","19","6.7","15","4","28","8","12","4.8","5","2.8","6","4.2","4","3.8","11","5.7","11","8","12","12","9","6.2","15","9.4","1","1.1","20","7.9","11","8.7","9","6.3","13","4.7","16","5.9","5","2.7","10","6.8","14","5.4","5","2.8","3","3.5","7","7.1","6","7.2"
"54","HSBC","106","8.4","70","8.2","36","8.8","59","9.2","47","7.6","15","6.6","26","9.4","16","6.5","24","10","25","9.4","14","4.9","37","9.9","37","10.6","18","7.2","18","9.9","2","1.4","8","7.5","12","6.2","24","17.5","5","5","25","17.4","6","3.8","6","6.5","12","4.7","14","11","20","14.1","28","10.1","23","8.5","9","4.9","11","7.4","17","6.6","5","2.8","8","9.3","14","14.3","15","18.1"
"55","Santander","54","4.3","39","4.6","15","3.7","22","3.4","32","5.2","9","3.9","12","4.3","7","2.9","10","4.1","16","6","17","6","16","4.3","13","3.7","8","3.2","4","2.2","15","10.4","3","2.8","9","4.6","2","1.5","2","2","8","5.6","8","5","3","3.2","14","5.5","2","1.6","3","2.1","9","3.2","15","5.5","11","5.9","7","4.7","15","5.8","8","4.5","5","5.8","2","2","2","2.4"
"56","Scotiabank","102","8.1","73","8.6","29","7.1","56","8.8","46","7.4","19","8.3","23","8.3","23","9.4","23","9.5","14","5.3","24","8.5","30","8","28","8","20","8","9","5","15","10.4","14","13.2","13","6.7","4","2.9","6","6","15","10.4","18","11.3","8","8.6","11","4.3","13","10.2","5","3.5","33","11.9","23","8.5","17","9.2","13","8.8","13","5.1","21","11.9","10","11.6","5","5.1","11","13.3"
"57","Coppel","205","16.3","138","16.3","67","16.4","93","14.6","112","18.1","45","19.7","41","14.7","40","16.3","32","13.3","47","17.7","50","17.6","61","16.3","48","13.8","46","18.3","38","21","24","16.7","17","16","29","14.9","20","14.6","12","12","19","13.2","31","19.5","15","16.1","29","11.4","31","24.4","26","18.3","47","16.9","34","12.5","38","20.5","22","14.9","26","10.1","41","23.2","19","22.1","14","14.3","16","19.3"
"58","Famsa","147","11.7","106","12.5","41","10","76","11.9","71","11.5","31","13.6","36","12.9","33","13.5","26","10.8","21","7.9","36","12.7","48","12.8","40","11.5","23","9.2","23","12.7","11","7.6","19","17.9","33","17","6","4.4","11","11","16","11.1","8","5","20","21.5","18","7.1","18","14.2","13","9.2","45","16.2","36","13.2","17","9.2","22","14.9","27","10.5","16","9","10","11.6","19","19.4","12","14.5"
"59","Otros (Especif)","162","12.9","98","11.5","64","15.6","85","13.3","77","12.4","26","11.4","36","12.9","30","12.2","28","11.6","42","15.8","38","13.4","38","10.2","42","12","44","17.5","19","10.5","13","9","4","3.8","42","21.6","19","13.9","16","16","17","11.8","14","8.8","18","19.4","46","18.1","6","4.7","32","22.5","26","9.4","31","11.4","21","11.4","12","8.1","37","14.4","18","10.2","6","7","16","16.3","9","10.8"
"60","Total","1258","100","849","100","409","100","638","100","620","100","228","100","278","100","245","100","241","100","266","100","284","100","374","100","349","100","251","100","181","100","144","100","106","100","194","100","137","100","100","100","144","100","159","100","93","100","254","100","127","100","142","100","278","100","272","100","185","100","148","100","257","100","177","100","86","100","98","100","83","100"
"61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"62","P13","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"63","Sí","93","7.4","80","9.4","13","3.2","42","6.6","51","8.2","27","11.8","18","6.5","15","6.1","15","6.2","18","6.8","14","4.9","26","7","29","8.3","24","9.6","14","7.7","14","9.7","18","17","12","6.2","5","3.6","7","7","7","4.9","12","7.5","4","4.3","11","4.3","15","11.8","6","4.2","30","10.8","24","8.8","7","3.8","22","14.9","20","7.8","19","10.7","6","7","7","7.1","6","7.2"
"64","No","1165","92.6","769","90.6","396","96.8","596","93.4","569","91.8","201","88.2","260","93.5","230","93.9","226","93.8","248","93.2","270","95.1","348","93","320","91.7","227","90.4","167","92.3","130","90.3","88","83","182","93.8","132","96.4","93","93","137","95.1","147","92.5","89","95.7","243","95.7","112","88.2","136","95.8","248","89.2","248","91.2","178","96.2","126","85.1","237","92.2","158","89.3","80","93","91","92.9","77","92.8"
"65","Total","1258","100","849","100","409","100","638","100","620","100","228","100","278","100","245","100","241","100","266","100","284","100","374","100","349","100","251","100","181","100","144","100","106","100","194","100","137","100","100","100","144","100","159","100","93","100","254","100","127","100","142","100","278","100","272","100","185","100","148","100","257","100","177","100","86","100","98","100","83","100"
"66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67","P13A","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"68","Padre","12","12.9","10","12.5","2","15.4","9","21.4","3","5.9","4","14.8","1","5.6","3","20","3","20","1","5.6","4","28.6","5","19.2","3","10.3","0","0","2","14.3","0","0","1","5.6","1","8.3","2","40","1","14.3","1","14.3","3","25","1","25","3","27.3","4","26.7","0","0","3","10","2","8.3","0","0","3","13.6","3","15","1","5.3","3","50","0","0","0","0"
"69","Madre","27","29","21","26.2","6","46.2","11","26.2","16","31.4","8","29.6","3","16.7","4","26.7","6","40","6","33.3","9","64.3","8","30.8","8","27.6","2","8.3","5","35.7","5","35.7","6","33.3","7","58.3","0","0","0","0","1","14.3","3","25","0","0","2","18.2","4","26.7","2","33.3","8","26.7","8","33.3","3","42.9","7","31.8","7","35","5","26.3","0","0","1","14.3","1","16.7"
"70","Hijo / Hija","26","28","23","28.7","3","23.1","9","21.4","17","33.3","8","29.6","8","44.4","3","20","4","26.7","3","16.7","0","0","1","3.8","7","24.1","18","75","6","42.9","2","14.3","3","16.7","4","33.3","1","20","2","28.6","2","28.6","6","50","0","0","3","27.3","5","33.3","2","33.3","7","23.3","8","33.3","1","14.3","9","40.9","3","15","2","10.5","3","50","4","57.1","2","33.3"
"71","Hermano/Hermana","11","11.8","11","13.8","0","0","4","9.5","7","13.7","1","3.7","3","16.7","4","26.7","0","0","3","16.7","1","7.1","5","19.2","4","13.8","1","4.2","0","0","6","42.9","1","5.6","0","0","1","20","1","14.3","1","14.3","0","0","1","25","1","9.1","0","0","1","16.7","5","16.7","2","8.3","2","28.6","2","9.1","2","10","6","31.6","0","0","1","14.3","0","0"
"72","Tío / Tía","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Abuelo / Abuela","1","1.1","1","1.2","0","0","0","0","1","2","1","3.7","0","0","0","0","0","0","0","0","0","0","1","3.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14.3","0","0","0","0","0","0","0","0","0","0","0","0","1","4.2","0","0","0","0","1","5","0","0","0","0","0","0","0","0"
"74","Cuñado / Cuñada","1","1.1","1","1.2","0","0","1","2.4","0","0","0","0","0","0","0","0","0","0","1","5.6","0","0","0","0","1","3.4","0","0","0","0","1","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3.3","0","0","0","0","0","0","0","0","1","5.3","0","0","0","0","0","0"
"75","Otro (Especificar)","15","16.1","13","16.2","2","15.4","8","19","7","13.7","5","18.5","3","16.7","1","6.7","2","13.3","4","22.2","0","0","6","23.1","6","20.7","3","12.5","1","7.1","0","0","7","38.9","0","0","1","20","3","42.9","1","14.3","0","0","2","50","2","18.2","2","13.3","1","16.7","6","20","3","12.5","1","14.3","1","4.5","4","20","4","21.1","0","0","1","14.3","3","50"
"76","Total","93","100","80","100","13","100","42","100","51","100","27","100","18","100","15","100","15","100","18","100","14","100","26","100","29","100","24","100","14","100","14","100","18","100","12","100","5","100","7","100","7","100","12","100","4","100","11","100","15","100","6","100","30","100","24","100","7","100","22","100","20","100","19","100","6","100","7","100","6","100"
"77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"78","P14","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
