"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","Banco Azteca","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"118","","47","87","33","84.6","14","93.3","18","81.8","29","90.6","5","55.6","11","91.7","6","85.7","10","100","15","93.8","15","88.2","15","93.8","10","76.9","7","87.5","4","100","12","80","3","100","8","88.9","2","100","1","50","7","87.5","7","87.5","3","100","14","100","1","50","3","100","8","88.9","12","80","9","81.8","5","71.4","14","93.3","7","87.5","3","60","2","100","2","100"
"119","Total","54","100","39","100","15","100","22","100","32","100","9","100","12","100","7","100","10","100","16","100","17","100","16","100","13","100","8","100","4","100","15","100","3","100","9","100","2","100","2","100","8","100","8","100","3","100","14","100","2","100","3","100","9","100","15","100","11","100","7","100","15","100","8","100","5","100","2","100","2","100"
"120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","Scotiabank","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"122","LOS INTERESES SON ALTOS","23","22.5","19","26","4","13.8","13","23.2","10","21.7","5","26.3","7","30.4","5","21.7","4","17.4","2","14.3","3","12.5","5","16.7","9","32.1","6","30","1","11.1","3","20","3","21.4","7","53.8","1","25","0","0","1","6.7","6","33.3","1","12.5","1","9.1","3","23.1","2","40","6","18.2","8","34.8","3","17.6","3","23.1","2","15.4","6","28.6","5","50","2","40","1","9.1"
"123","NO ME DA CONFIANZA","11","10.8","6","8.2","5","17.2","7","12.5","4","8.7","3","15.8","2","8.7","1","4.3","4","17.4","1","7.1","5","20.8","3","10","1","3.6","2","10","2","22.2","1","6.7","0","0","1","7.7","0","0","0","0","7","46.7","0","0","0","0","1","9.1","0","0","0","0","7","21.2","2","8.7","1","5.9","2","15.4","1","7.7","1","4.8","1","10","0","0","1","9.1"
"124","FALTA INFORMACIÓN DEL BANCO","30","29.4","21","28.8","9","31","14","25","16","34.8","2","10.5","7","30.4","7","30.4","8","34.8","6","42.9","6","25","12","40","6","21.4","6","30","3","33.3","2","13.3","5","35.7","4","30.8","1","25","0","0","7","46.7","4","22.2","4","50","4","36.4","2","15.4","0","0","12","36.4","6","26.1","6","35.3","3","23.1","5","38.5","8","38.1","0","0","1","20","4","36.4"
"125","ME HAN DADO MALAS REFERENCIAS DEL BANCO","4","3.9","3","4.1","1","3.4","2","3.6","2","4.3","1","5.3","2","8.7","0","0","0","0","1","7.1","1","4.2","1","3.3","1","3.6","1","5","0","0","1","6.7","0","0","0","0","0","0","0","0","0","0","3","16.7","0","0","1","9.1","0","0","0","0","0","0","3","13","0","0","3","23.1","0","0","0","0","0","0","0","0","0","0"
"126","TIENE POCAS SUCURSALES/CAJEROS","22","21.6","16","21.9","6","20.7","11","19.6","11","23.9","5","26.3","5","21.7","4","17.4","7","30.4","1","7.1","8","33.3","5","16.7","6","21.4","3","15","3","33.3","4","26.7","4","28.6","0","0","2","50","5","83.3","3","20","1","5.6","0","0","5","45.5","2","15.4","1","20","6","18.2","3","13","5","29.4","2","15.4","6","46.2","5","23.8","0","0","1","20","2","18.2"
"127","MALA ATENCIÓN Y SERVICIO","5","4.9","5","6.8","0","0","4","7.1","1","2.2","3","15.8","0","0","1","4.3","1","4.3","0","0","1","4.2","2","6.7","0","0","2","10","0","0","2","13.3","1","7.1","0","0","0","0","1","16.7","1","6.7","0","0","0","0","0","0","1","7.7","0","0","4","12.1","0","0","0","0","0","0","0","0","2","9.5","0","0","0","0","3","27.3"
