"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"21","IZUZU","1","0.3","1","0.3","0","0","1","0.4","0","0","0","0","0","0","1","2.1","0","0","0","0","0","0","0","0","0","0","1","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2.7","0","0","0","0","0","0","1","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3"
"22","CADILLAC","1","0.3","1","0.3","0","0","1","0.4","0","0","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.1","1","1.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.1","0","0","0","0","1","1.3","0","0","0","0","0","0","0","0","0","0"
"23","RENAULT","1","0.3","1","0.3","0","0","0","0","1","0.7","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.1","0","0","0","0","0","0","1","2.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4.3","1","1.3","0","0","0","0","0","0","0","0","0","0"
"24","Total","386","100","311","100","75","100","235","100","151","100","158","100","134","100","47","100","31","100","16","100","43","100","127","100","123","100","93","100","64","100","28","100","19","100","41","100","47","100","26","100","32","100","92","100","37","100","43","100","65","100","49","100","91","100","115","100","23","100","77","100","77","100","38","100","48","100","38","100","33","100"
"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26","","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"27","2006","19","4.9","15","4.8","4","5.3","15","6.4","4","2.6","9","5.7","7","5.2","1","2.1","2","6.5","0","0","4","9.3","8","6.3","6","4.9","1","1.1","3","4.7","0","0","0","0","1","2.4","1","2.1","2","7.7","3","9.4","8","8.7","1","2.7","1","2.3","9","13.8","2","4.1","3","3.3","3","2.6","1","4.3","2","2.6","1","1.3","4","10.5","6","12.5","1","2.6","1","3"
"28","2015","33","8.5","28","9","5","6.7","21","8.9","12","7.9","22","13.9","7","5.2","2","4.3","1","3.2","1","6.2","5","11.6","7","5.5","11","8.9","10","10.8","11","17.2","2","7.1","1","5.3","3","7.3","9","19.1","0","0","5","15.6","2","2.2","0","0","1","2.3","1","1.5","8","16.3","10","11","12","10.4","1","4.3","12","15.6","2","2.6","2","5.3","3","6.2","8","21.1","1","3"
"29","2014","34","8.8","34","10.9","0","0","25","10.6","9","6","15","9.5","16","11.9","2","4.3","1","3.2","0","0","6","14","9","7.1","10","8.1","9","9.7","9","14.1","4","14.3","3","15.8","1","2.4","7","14.9","3","11.5","4","12.5","1","1.1","2","5.4","2","4.7","2","3.1","7","14.3","17","18.7","6","5.2","0","0","11","14.3","5","6.5","3","7.9","2","4.2","6","15.8","7","21.2"
"30","2002","16","4.1","10","3.2","6","8","11","4.7","5","3.3","4","2.5","9","6.7","2","4.3","0","0","1","6.2","2","4.7","6","4.7","5","4.1","3","3.2","0","0","0","0","1","5.3","0","0","1","2.1","0","0","2","6.2","9","9.8","3","8.1","4","9.3","5","7.7","2","4.1","2","2.2","3","2.6","0","0","0","0","4","5.2","1","2.6","1","2.1","0","0","4","12.1"
"31","2005","24","6.2","20","6.4","4","5.3","12","5.1","12","7.9","7","4.4","7","5.2","7","14.9","2","6.5","1","6.2","0","0","11","8.7","7","5.7","6","6.5","1","1.6","3","10.7","1","5.3","6","14.6","1","2.1","1","3.8","1","3.1","9","9.8","1","2.7","4","9.3","2","3.1","2","4.1","4","4.4","10","8.7","2","8.7","4","5.2","7","9.1","4","10.5","3","6.2","2","5.3","0","0"
"32","1996","7","1.8","7","2.3","0","0","7","3","0","0","2","1.3","2","1.5","2","4.3","1","3.2","0","0","4","9.3","2","1.6","0","0","1","1.1","0","0","0","0","0","0","0","0","1","2.1","0","0","0","0","4","4.3","2","5.4","1","2.3","2","3.1","0","0","1","1.1","3","2.6","0","0","0","0","4","5.2","1","2.6","1","2.1","0","0","1","3"
"33","2004","13","3.4","9","2.9","4","5.3","8","3.4","5","3.3","4","2.5","5","3.7","2","4.3","1","3.2","1","6.2","2","4.7","6","4.7","1","0.8","4","4.3","0","0","1","3.6","0","0","0","0","1","2.1","1","3.8","2","6.2","5","5.4","3","8.1","3","7","6","9.2","1","2","2","2.2","1","0.9","0","0","0","0","3","3.9","1","2.6","2","4.2","0","0","3","9.1"
"34","2010","25","6.5","20","6.4","5","6.7","14","6","11","7.3","11","7","8","6","1","2.1","1","3.2","4","25","1","2.3","4","3.1","7","5.7","13","14","5","7.8","1","3.6","2","10.5","2","4.9","6","12.8","3","11.5","2","6.2","4","4.3","0","0","3","7","3","4.6","6","12.2","5","5.5","5","4.3","3","13","3","3.9","3","3.9","2","5.3","3","6.2","6","15.8","3","9.1"
"35","2012","20","5.2","14","4.5","6","8","9","3.8","11","7.3","11","7","5","3.7","2","4.3","0","0","2","12.5","5","11.6","6","4.7","5","4.1","4","4.3","5","7.8","5","17.9","1","5.3","3","7.3","4","8.5","1","3.8","0","0","0","0","1","2.7","1","2.3","0","0","3","6.1","7","7.7","4","3.5","5","21.7","6","7.8","3","3.9","3","7.9","1","2.1","0","0","1","3"
"36","1997","8","2.1","6","1.9","2","2.7","6","2.6","2","1.3","1","0.6","4","3","3","6.4","0","0","0","0","0","0","3","2.4","1","0.8","4","4.3","0","0","0","0","0","0","0","0","1","2.1","1","3.8","0","0","3","3.3","3","8.1","4","9.3","0","0","1","2","0","0","3","2.6","0","0","0","0","5","6.5","0","0","0","0","0","0","1","3"
"37","2011","21","5.4","17","5.5","4","5.3","13","5.5","8","5.3","14","8.9","7","5.2","0","0","0","0","0","0","2","4.7","7","5.5","7","5.7","5","5.4","9","14.1","2","7.1","4","21.1","2","4.9","0","0","2","7.7","1","3.1","0","0","1","2.7","0","0","2","3.1","1","2","8","8.8","8","7","2","8.7","11","14.3","1","1.3","3","7.9","1","2.1","1","2.6","0","0"
"38","2013","26","6.7","20","6.4","6","8","12","5.1","14","9.3","12","7.6","5","3.7","4","8.5","3","9.7","2","12.5","2","4.7","13","10.2","9","7.3","2","2.2","6","9.4","3","10.7","1","5.3","1","2.4","6","12.8","3","11.5","2","6.2","4","4.3","0","0","2","4.7","2","3.1","5","10.2","8","8.8","7","6.1","2","8.7","6","7.8","4","5.2","3","7.9","2","4.2","5","13.2","0","0"
"39","1998","9","2.3","8","2.6","1","1.3","6","2.6","3","2","1","0.6","5","3.7","2","4.3","1","3.2","0","0","1","2.3","2","1.6","4","3.3","2","2.2","0","0","0","0","0","0","0","0","0","0","0","0","1","3.1","4","4.3","4","10.8","2","4.7","2","3.1","0","0","1","1.1","4","3.5","0","0","1","1.3","4","5.2","0","0","2","4.2","0","0","1","3"
"40","2008","15","3.9","10","3.2","5","6.7","7","3","8","5.3","8","5.1","4","3","1","2.1","2","6.5","0","0","0","0","3","2.4","8","6.5","4","4.3","4","6.2","2","7.1","1","5.3","1","2.4","0","0","0","0","3","9.4","2","2.2","2","5.4","1","2.3","1","1.5","0","0","4","4.4","6","5.2","3","13","4","5.2","3","3.9","2","5.3","0","0","0","0","1","3"
"41","2009","13","3.4","12","3.9","1","1.3","10","4.3","3","2","5","3.2","6","4.5","1","2.1","1","3.2","0","0","0","0","3","2.4","5","4.1","5","5.4","4","6.2","1","3.6","2","10.5","1","2.4","2","4.3","1","3.8","2","6.2","0","0","0","0","0","0","1","1.5","1","2","5","5.5","4","3.5","2","8.7","6","7.8","1","1.3","2","5.3","2","4.2","1","2.6","0","0"
"42","2001","18","4.7","12","3.9","6","8","12","5.1","6","4","6","3.8","6","4.5","4","8.5","2","6.5","0","0","2","4.7","4","3.1","8","6.5","4","4.3","3","4.7","2","7.1","0","0","4","9.8","2","4.3","0","0","0","0","4","4.3","3","8.1","1","2.3","5","7.7","2","4.1","2","2.2","8","7","0","0","3","3.9","1","1.3","0","0","4","8.3","2","5.3","2","6.1"
"43","2003","17","4.4","15","4.8","2","2.7","8","3.4","9","6","3","1.9","6","4.5","4","8.5","3","9.7","1","6.2","0","0","8","6.3","4","3.3","5","5.4","1","1.6","0","0","1","5.3","1","2.4","1","2.1","1","3.8","1","3.1","10","10.9","1","2.7","4","9.3","5","7.7","1","2","2","2.2","4","3.5","1","4.3","1","1.3","7","9.1","2","5.3","2","4.2","1","2.6","2","6.1"
"44","2000","22","5.7","17","5.5","5","6.7","14","6","8","5.3","4","2.5","12","9","1","2.1","3","9.7","2","12.5","3","7","10","7.9","8","6.5","1","1.1","0","0","0","0","1","5.3","5","12.2","1","2.1","2","7.7","1","3.1","11","12","1","2.7","3","7","10","15.4","1","2","1","1.1","7","6.1","0","0","1","1.3","5","6.5","1","2.6","9","18.8","0","0","1","3"
"45","2016","5","1.3","4","1.3","1","1.3","2","0.9","3","2","4","2.5","1","0.7","0","0","0","0","0","0","0","0","0","0","4","3.3","1","1.1","3","4.7","0","0","0","0","1","2.4","0","0","0","0","1","3.1","0","0","0","0","0","0","1","1.5","1","2","3","3.3","0","0","0","0","2","2.6","0","0","0","0","1","2.1","1","2.6","0","0"
"46","1988","2","0.5","1","0.3","1","1.3","2","0.9","0","0","0","0","1","0.7","0","0","1","3.2","0","0","0","0","1","0.8","0","0","1","1.1","0","0","0","0","0","0","0","0","0","0","1","3.8","0","0","0","0","1","2.7","0","0","0","0","0","0","0","0","2","1.7","0","0","0","0","1","1.3","0","0","0","0","0","0","0","0"
"47","1989","2","0.5","2","0.6","0","0","2","0.9","0","0","0","0","0","0","2","4.3","0","0","0","0","0","0","1","0.8","0","0","1","1.1","0","0","0","0","0","0","1","2.4","0","0","0","0","0","0","0","0","1","2.7","1","2.3","0","0","0","0","0","0","1","0.9","0","0","0","0","2","2.6","0","0","0","0","0","0","0","0"
"48","2007","11","2.8","9","2.9","2","2.7","4","1.7","7","4.6","5","3.2","3","2.2","0","0","3","9.7","0","0","1","2.3","3","2.4","6","4.9","1","1.1","0","0","0","0","0","0","3","7.3","1","2.1","2","7.7","1","3.1","3","3.3","1","2.7","1","2.3","0","0","2","4.1","1","1.1","7","6.1","0","0","2","2.6","4","5.2","0","0","0","0","2","5.3","1","3"
"49","1999","16","4.1","13","4.2","3","4","9","3.8","7","4.6","5","3.2","7","5.2","3","6.4","1","3.2","0","0","2","4.7","6","4.7","4","3.3","4","4.3","0","0","1","3.6","0","0","3","7.3","1","2.1","0","0","0","0","8","8.7","3","8.1","2","4.7","5","7.7","1","2","3","3.3","5","4.3","0","0","2","2.6","4","5.2","1","2.6","3","6.2","1","2.6","2","6.1"
